,filename_prefix,Label,structure,PhysicalSize,Roundness,5-EU_0_Mean,5-EU_0_Skewness,SYTOX_0_Mean,SYTOX_0_Sum
185927,20210416_Timecourse5EU_s5_NA,706,nuclei,2301.78,0.9669832061195468,52.06093979441997,2.2826521089262,116.03010279001468,158033.0
185928,20210416_Timecourse5EU_s5_NA,707,nuclei,2227.42,0.9242257691138592,76.34901365705615,2.084981577228005,162.70485584218514,214445.0
185929,20210416_Timecourse5EU_s5_NA,708,nuclei,2046.59,0.9273669613817958,68.9306358381503,1.862697751202164,181.32287365813377,219582.0
185930,20210416_Timecourse5EU_s5_NA,709,nuclei,2237.5600000000004,0.9173117782865812,85.69788519637463,2.770198002199864,87.1941087613293,115445.0
185931,20210416_Timecourse5EU_s5_NA,710,nuclei,1473.68,0.8439398763216545,64.15366972477064,1.5816936809873858,207.1811926605505,180662.0
185932,20210416_Timecourse5EU_s5_NA,711,nuclei,2139.5400000000004,0.9364763744269864,52.23854660347551,2.384105804455174,106.43838862559242,134751.0
185933,20210416_Timecourse5EU_s5_NA,712,nuclei,1517.62,0.878582587820007,101.22271714922049,2.4343995810949384,89.19710467706014,80099.0
185934,20210416_Timecourse5EU_s5_NA,713,nuclei,1989.13,0.8561213336832911,75.21325403568395,3.607167257993972,107.6822429906542,126742.0
185935,20210416_Timecourse5EU_s5_NA,714,nuclei,57.46000000000001,0.8273751351220746,75.3529411764706,0.7191212319265387,61.38235294117647,2087.0
185936,20210416_Timecourse5EU_s5_NA,715,nuclei,2109.1200000000003,0.9138357636993918,80.63701923076923,2.151161322837971,99.25080128205128,123865.0
185937,20210416_Timecourse5EU_s5_NA,716,nuclei,2861.17,0.9037364559461916,70.79740106320142,2.022844543842014,102.0253987005316,172729.0
185938,20210416_Timecourse5EU_s5_NA,717,nuclei,2234.1800000000003,0.9383905244233908,63.93872919818457,1.4844187813079626,156.34190620272315,206684.0
185939,20210416_Timecourse5EU_s5_NA,718,nuclei,601.6400000000001,0.8262064330099993,117.6629213483146,1.6875259975423451,123.41011235955057,43934.0
185940,20210416_Timecourse5EU_s5_NA,719,nuclei,1764.36,0.7723087700791818,45.35632183908046,2.287224802815288,106.15613026819923,110827.0
185941,20210416_Timecourse5EU_s5_NA,720,nuclei,919.36,0.6256616316306947,60.63051470588236,3.405441777980124,117.03125,63665.0
185942,20210416_Timecourse5EU_s5_NA,721,nuclei,346.45000000000005,0.7579004780724652,48.84390243902439,0.4105300036839276,129.3609756097561,26519.0
185943,20210416_Timecourse5EU_s5_NA,722,nuclei,387.0100000000001,0.7407838720942803,70.22270742358079,1.571894232462482,91.49781659388648,20953.0
185944,20210416_Timecourse5EU_s5_NA,723,nuclei,1683.2400000000002,0.8977437377297106,49.019076305220885,1.991273389993976,118.91767068273091,118442.0
